team,cfbfastr_team,team_id,conference,mascot,logo_path,logo_filename,logo_url,logo_status,logo_width,logo_height,logo_bytes
Texas A&M,Texas AM Aggies,245,SEC,Aggies,assets/team_logos/texas-a-and-m.png,texas-a-and-m.png,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,downloaded,500,500,9326
Texas State,Texas State Bobcats,326,Sun Belt,Bobcats,assets/team_logos/texas-state.png,texas-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,downloaded,500,500,50904
Texas Tech,Texas Tech Red Raiders,2641,Big 12,Red Raiders,assets/team_logos/texas-tech.png,texas-tech.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,downloaded,500,500,3840
Toledo,Toledo Rockets,2649,Mid-American,Rockets,assets/team_logos/toledo.png,toledo.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,downloaded,500,500,50894
Troy,Troy Trojans,2653,Sun Belt,Trojans,assets/team_logos/troy.png,troy.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,downloaded,500,500,23668
Tulane,Tulane Green Wave,2655,American Athletic,Green Wave,assets/team_logos/tulane.png,tulane.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,downloaded,500,500,108389
Tulsa,Tulsa Golden Hurricane,202,American Athletic,Golden Hurricane,assets/team_logos/tulsa.png,tulsa.png,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,downloaded,500,500,44095
UAB,UAB Blazers,5,American Athletic,Blazers,assets/team_logos/uab.png,uab.png,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,downloaded,500,500,72994
UCF,UCF Knights,2116,Big 12,Knights,assets/team_logos/ucf.png,ucf.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,downloaded,500,500,42940
UCLA,UCLA Bruins,26,Big Ten,Bruins,assets/team_logos/ucla.png,ucla.png,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,downloaded,500,500,20276
UMass,UMass Minutemen,113,FBS Independents,Minutemen,assets/team_logos/umass.png,umass.png,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,downloaded,500,500,51143
UNLV,UNLV Rebels,2439,Mountain West,Rebels,assets/team_logos/unlv.png,unlv.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,downloaded,500,500,37400
USC,USC Trojans,30,Big Ten,Trojans,assets/team_logos/usc.png,usc.png,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,downloaded,500,500,15867
UT San Antonio,UT San Antonio Roadrunners,2636,American Athletic,Roadrunners,assets/team_logos/ut-san-antonio.png,ut-san-antonio.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,downloaded,500,500,29625
UTEP,UTEP Miners,2638,Conference USA,Miners,assets/team_logos/utep.png,utep.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,downloaded,500,500,78242
Utah,Utah Utes,254,Big 12,Utes,assets/team_logos/utah.png,utah.png,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,downloaded,500,500,5348
Utah State,Utah State Aggies,328,Mountain West,Aggies,assets/team_logos/utah-state.png,utah-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,downloaded,500,500,16626
Vanderbilt,Vanderbilt Commodores,238,SEC,Commodores,assets/team_logos/vanderbilt.png,vanderbilt.png,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,downloaded,500,500,31789
Virginia,Virginia Cavaliers,258,ACC,Cavaliers,assets/team_logos/virginia.png,virginia.png,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,downloaded,500,500,50795
Virginia Tech,Virginia Tech Hokies,259,ACC,Hokies,assets/team_logos/virginia-tech.png,virginia-tech.png,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,downloaded,500,500,35847
Wake Forest,Wake Forest Demon Deacons,154,ACC,Demon Deacons,assets/team_logos/wake-forest.png,wake-forest.png,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,downloaded,500,500,9293
Washington,Washington Huskies,264,Big Ten,Huskies,assets/team_logos/washington.png,washington.png,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,downloaded,500,500,31742
Washington State,Washington State Cougars,265,Pac-12,Cougars,assets/team_logos/washington-state.png,washington-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,downloaded,500,500,32971
West Virginia,West Virginia Mountaineers,277,Big 12,Mountaineers,assets/team_logos/west-virginia.png,west-virginia.png,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,downloaded,500,500,18323
Western Kentucky,Western Kentucky Hilltoppers,98,Conference USA,Hilltoppers,assets/team_logos/western-kentucky.png,western-kentucky.png,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,downloaded,500,500,42959
Western Michigan,Western Michigan Broncos,2711,Mid-American,Broncos,assets/team_logos/western-michigan.png,western-michigan.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,downloaded,500,500,57142
Wisconsin,Wisconsin Badgers,275,Big Ten,Badgers,assets/team_logos/wisconsin.png,wisconsin.png,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,downloaded,500,500,33649
Wyoming,Wyoming Cowboys,2751,Mountain West,Cowboys,assets/team_logos/wyoming.png,wyoming.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,downloaded,500,500,53692
