season,week,team,QBID,QBname,off_rt,def_good,power,recent_QBID,recent_QBname,qb_value,career_starts,power_final,hfa,off_wepa,def_wepa,off_epa,def_epa,off_pass_epa,def_pass_epa,off_rush_epa,def_rush_epa,off_eckel_rate,def_eckel_rate,off_success,def_success,proe,def_proe,games,team_name,conference,division,logo,power_rank,off_rank,def_rank,off_wepa_rank,def_wepa_rank,off_epa_rank,def_epa_rank,off_pass_epa_rank,def_pass_epa_rank,off_rush_epa_rank,def_rush_epa_rank,off_eckel_rank,def_eckel_rank,off_success_rank,def_success_rank,power_change,rank_change
2026,1,CHI,00-0039918,Caleb Williams,0.6705653651062686,-0.2716862844609491,0.3988790806453195,00-0039918,Caleb Williams,0.947771660136198,38,1.3466507407815174,2.2544463718431462,5.627753772425362,1.5422004173474606,0.05864362620535646,0.0012453205813121586,0.09359928022750737,0.030365921429155125,0.00984588362305556,-0.04278020318569305,0.5733333333333334,0.5,0.45397489539748953,0.4581861012956419,-0.03560642644005922,-0.04833632956295187,0,Chicago Bears,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,12,8,20,12,26,10,13,14,12,5,21,2,18,13,23,0,0
2026,1,GB,00-0036264,Jordan Love,0.8470850135870691,-0.19458470046243415,0.652500313124635,00-0036264,Jordan Love,0.3160154627335015,54,0.9685157758581364,2.2544463718431462,12.391992074141806,-1.391903920458696,0.15221101944594848,0.015496287480980591,0.28885992980851993,0.09639565119883738,-0.0349792687219577,-0.1110092331203139,0.5572519083969466,0.4883720930232558,0.48323699421965316,0.43867403314917125,-0.02273797673355703,-0.05311292826748813,0,Green Bay Packers,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,13,4,18,2,14,2,17,1,21,11,7,9,13,3,12,0,0
2026,1,LAC,00-0036355,Justin Herbert,0.3014587757877454,0.8459625346648008,1.1474213104525461,00-0036355,Justin Herbert,-0.18547450223851858,100,0.9619468082140276,2.2544463718431462,4.674446663844918,-3.9854212572360654,-0.0059634608155110635,-0.07361699627602546,0.03262322738255831,-0.06574602086896728,-0.07012761090487213,-0.08715818094014198,0.5357142857142857,0.4642857142857143,0.44420600858369097,0.41717049576783555,0.010132664251592354,0.009487712203369383,0,Los Angeles Chargers,AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,14,13,6,14,7,22,5,21,2,20,13,12,9,16,6,0,0
2026,1,CIN,00-0036442,Joe Burrow,-0.0912587200120134,-0.977288689226453,-1.0685474092384664,00-0036442,Joe Burrow,1.9518833478951687,86,0.8833359386567023,2.2544463718431462,3.8412032305906343,6.018715110800288,-0.030775870570629926,0.16087795907549568,-0.03295568647027286,0.23468918008324866,-0.026251441693020527,0.05483650140128456,0.5,0.5755395683453237,0.4435754189944134,0.5,0.016977040442275455,-0.007139653276195862,0,Cincinnati Bengals,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,15,19,28,19,32,26,32,26,31,10,30,17,32,17,32,0,0
2026,1,DEN,00-0039732,Bo Nix,-0.29095278766248533,0.5390560955565018,0.24810330789401647,00-0035264,Jarrett Stidham,0.3580245089122641,38,0.6061278168062806,2.2544463718431462,3.8711167293463147,-4.80065536909049,0.05185123940627057,-0.04372269384002784,0.11482630302279899,-0.014639893467832538,-0.053591158176447044,-0.10142519266766373,0.44666666666666666,0.4064516129032258,0.4364224137931034,0.3863393810032017,0.016538921615293134,0.014958335441746908,0,Denver Broncos,AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,16,22,9,18,5,11,8,11,10,18,11,26,2,21,2,0,0
2026,1,PIT,00-0023459,Aaron Rodgers,-0.09750120159417985,0.12718795225902424,0.029686750664844386,00-0023459,Aaron Rodgers,0.23806946443406748,148,0.2677562150989119,2.2544463718431462,3.8340531482215123,-0.4434185541135601,0.03380656946826313,0.02671005575625717,0.06630254543170248,0.047068637346932805,-0.015857091909823408,-0.007613503289179443,0.45985401459854014,0.4965034965034965,0.44776119402985076,0.4471794871794872,5.520903009273734e-5,-0.015351687726503065,0,Pittsburgh Steelers,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,17,20,16,20,17,14,21,17,13,9,27,23,15,14,18,0,0
2026,1,MIN,00-0035228,Kyler Murray,-0.8281651340204244,0.6121723913469319,-0.21599274267349244,00-0039923,J.J. McCarthy,0.3619209389282835,89,0.14592819625479103,2.2544463718431462,-3.222371777122325,-4.949059900857833,-0.09252726049067256,-0.03488820335429426,-0.09996932281453089,-0.03607588236275099,-0.07954162112965443,-0.03352594984098002,0.410958904109589,0.4931506849315068,0.43246592317224286,0.43209876543209874,-0.0035013181920890797,-0.05750895138395738,0,Minnesota Vikings,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,18,28,8,28,4,28,9,29,6,23,23,28,14,22,10,0,0
2026,1,TB,00-0034855,Baker Mayfield,-0.5972099703790192,0.1222659893034479,-0.47494398107557134,00-0034855,Baker Mayfield,-0.08488473524165811,127,-0.5598287163172294,2.2544463718431462,4.626769392804164,-0.191257724831514,-0.006401190740943732,0.007306164119744237,0.03824975749518507,0.0705813222107096,-0.07900641535153277,-0.11540929399606738,0.48299319727891155,0.496551724137931,0.4261057173678533,0.4547537227949599,-0.02042127213084205,0.022771700712362525,0,Tampa Bay Buccaneers,NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,19,26,17,15,18,23,15,20,19,22,6,22,16,27,20,0,0
2026,1,IND,00-0035710,Daniel Jones,0.7363085450844782,0.23302131214969346,0.9693298572341716,00-0040206,Riley Leonard,-1.6941611911717833,86,-0.7248313339376117,2.2544463718431462,9.409819312810422,0.007691027561115726,0.11207868340531653,-0.0074964521008990545,0.12929882220945632,0.058144799771566794,0.08627300531136343,-0.13099777401292445,0.5579710144927537,0.5177304964539007,0.47434435575826683,0.45569620253164556,0.003129609506674089,0.016114196924638485,0,Indianapolis Colts,AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,20,6,14,6,20,6,11,10,15,1,4,8,21,5,21,0,0
2026,1,SF,00-0037834,Brock Purdy,0.3017380536335388,-0.5135999268348526,-0.21186187320131378,00-0037834,Brock Purdy,-0.7253028148743654,55,-0.9371646880756792,2.2544463718431462,6.8315225676375615,-0.052869240806038435,0.07310829688793824,0.049546705139566445,0.1620222401561481,0.13018233805527157,-0.056824612208005776,-0.0850094117927196,0.5652173913043478,0.5109489051094891,0.48429035752979416,0.4783599088838269,-0.010633177393942123,-0.005705610008634752,0,San Francisco 49ers,NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,21,12,24,9,19,9,22,9,23,19,14,4,20,2,28,0,0
2026,1,CLE,00-0033537,Deshaun Watson,-1.9081074078273819,0.986945683828772,-0.9211617239986098,00-0040668,Shedeur Sanders,-0.04860734906205976,77,-0.9697690730606696,2.2544463718431462,-12.160036442098903,-6.207657203565193,-0.18265969065367998,-0.0818950030421778,-0.2123271375053712,-0.04170656444684237,-0.12944085522433849,-0.13551628960636508,0.345679012345679,0.4339622641509434,0.3436123348017621,0.38615023474178406,-0.036492546039651345,-0.051693811715905744,0,Cleveland Browns,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,22,31,4,32,3,32,4,32,5,28,3,32,4,32,1,0,0
2026,1,NYG,00-0040691,Jaxson Dart,0.19703615129682017,-1.1081147373827,-0.9110785860858799,00-0040691,Jaxson Dart,-0.844967021466519,14,-1.756045607552399,2.2544463718431462,3.261787113395754,4.380986056191454,0.042978470983574296,0.14303873840410963,0.10685832434558423,0.13943507698549434,-0.05309413169807655,0.1490343953730522,0.5174825174825175,0.5517241379310345,0.4309799789251844,0.48313384113166485,-0.041810558909321574,-0.0013503543384962504,0,New York Giants,NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,23,16,29,21,30,12,29,12,26,17,32,14,27,24,29,0,0
2026,1,LV,00-0029604,Kirk Cousins,-2.132800997764239,-0.36072185573104654,-2.4935228534952856,00-0038102,Kenny Pickett,0.6625982530158835,147,-1.8309246004794022,2.2544463718431462,-10.607722806579028,-1.6116283166231111,-0.18024722724330297,0.05716771748080574,-0.11609520578049598,0.1621266195606376,-0.3064363683624508,-0.07625019038684125,0.3472222222222222,0.5652173913043478,0.3962962962962963,0.4644030668127054,0.0030937650940777092,-0.014547344768329862,0,Las Vegas Raiders,AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,24,32,22,31,12,31,24,30,27,32,16,31,29,30,24,0,0
2026,1,NO,00-0040743,Tyler Shough,-0.7182250396638743,0.35392162267682803,-0.36430341698704627,00-0040743,Tyler Shough,-1.6024860745586127,11,-1.966789491545659,2.2544463718431462,-5.541183228377387,-3.7139229303156926,-0.09776871170492245,-8.010337572524009e-4,-0.06357129139408116,0.09297047161423594,-0.1566699401209088,-0.10744313790521952,0.45,0.475177304964539,0.4298245614035088,0.4426605504587156,-0.0421372272636316,-0.05346924249661827,0,New Orleans Saints,NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,25,27,12,29,8,29,12,27,20,30,9,25,11,25,15,0,0
2026,1,TEN,00-0040676,Cam Ward,-1.381141824818914,-0.7032485574622616,-2.0843903822811756,00-0040676,Cam Ward,-0.24472147138832606,19,-2.3291118536695015,2.2544463718431462,-6.170714535387764,0.10027972486849744,-0.1508997853631293,0.10711508767979874,-0.16895418820776853,0.20641946539454398,-0.11354810411570535,-0.04128043721031491,0.3673469387755102,0.5238095238095238,0.3825265643447462,0.4563986409966025,-0.027263663740592522,0.02751526932472764,0,Tennessee Titans,AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,26,30,25,30,21,30,27,31,28,25,22,30,23,31,22,0,0
2026,1,ARI,00-0033119,Jacoby Brissett,-0.3478509285293043,-0.7763405595644115,-1.1241914880937158,00-0033119,Jacoby Brissett,-1.270272710901199,67,-2.394464198994915,2.2544463718431462,0.420014320144637,1.850459305609373,-0.01654128287875517,0.057979689318510254,0.04837779485972226,0.12537550082244775,-0.1662344140214299,-0.045232182013234035,0.5,0.5625,0.4365904365904366,0.48645598194130923,0.04901905535701999,-0.0139770490404839,0,Arizona Cardinals,NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,27,23,27,26,27,25,25,19,22,31,20,17,28,20,30,0,0
2026,1,ATL,00-0033662,Cooper Rush,0.17788120567978716,-0.29167781519193914,-0.11379660951215198,00-0029604,Kirk Cousins,-2.8193521561779025,17,-2.9331487656900546,2.2544463718431462,2.193456051856984,0.5947640161828105,-0.005141116691730793,0.025131267288846553,0.026064275173631683,0.05939766154866331,-0.04928532957443867,-0.026315784480739814,0.4589041095890411,0.5460992907801419,0.4556677890011223,0.46511627906976744,-0.04644189787161058,-0.01232441069953306,0,Atlanta Falcons,NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,28,17,21,24,22,21,20,22,16,14,24,24,26,11,25,0,0
2026,1,MIA,00-0038128,Malik Willis,0.04668908152512241,-0.769070154066608,-0.7223810725414855,00-0040234,Quinn Ewers,-2.6313914950956963,8,-3.353772567637182,2.2544463718431462,2.702739791744595,1.8675514975299754,-0.0027498910849800945,0.05371138976752059,-0.01430588097122347,0.13803406101418278,0.013476933036720934,-0.06246142089024502,0.4927536231884058,0.5220588235294118,0.42714819427148193,0.4685714285714286,-0.04584807948592655,-0.038575289848188775,0,Miami Dolphins,AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,29,18,26,23,28,19,23,25,25,3,18,20,22,26,26,0,0
2026,1,CAR,00-0039150,Bryce Young,-0.43690288673012745,-0.5096201530337691,-0.9465230397638965,00-0039150,Bryce Young,-2.517879763010011,44,-3.4644028027739076,2.2544463718431462,3.196494753161437,1.4947800131999984,-0.00919680093131092,0.07063161329824179,0.021559477036560856,0.13285376950672242,-0.05205662764125623,-0.018052839228788066,0.48872180451127817,0.5354330708661418,0.4391891891891892,0.4443127962085308,-0.0672669279746271,-0.027604170719388293,0,Carolina Panthers,NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,30,24,23,22,25,24,26,23,24,16,25,21,24,18,16,0,0
2026,1,WAS,00-0039910,Jayden Daniels,0.22828424800982283,-1.6962502307125789,-1.467965982702756,00-0026300,Josh Johnson,-2.5238545829438386,25,-3.9918205656465946,2.2544463718431462,6.160590925831929,4.124962570245896,0.02322806717328893,0.1465278787069223,0.06172596578143182,0.2547884605035287,-0.03625848169643624,-0.005559372932278158,0.549618320610687,0.5661764705882353,0.4650630011454754,0.47714604236343366,-0.021860171617108633,-0.008205145936960414,0,Washington Commanders,NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/was.png,31,15,32,11,29,16,31,18,32,12,28,10,30,9,27,0,0
2026,1,NYJ,00-0030565,Geno Smith,-1.3691395737551755,-1.3323075411943717,-2.701447114949547,00-0040398,Brady Cook,-1.9848951423741064,72,-4.686342257323654,2.2544463718431462,-3.2192809743964355,0.771854123296279,-0.09120235307680848,0.12098927634472889,-0.08042389771611821,0.22822941635562313,-0.10835725199922841,-0.015049366738144622,0.38513513513513514,0.49664429530201343,0.4241019698725377,0.4419391206313416,-0.07878435578200167,-0.03175395041999602,0,New York Jets,AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,32,29,31,27,23,27,28,28,30,24,26,29,17,28,14,0,0
