field,description,data_type,source
goal_to_go,Binary indicator for whether or not the posteam is in a goal down situation.,,nflfastR::field_descriptions
half_sack_1_player_id,Unique identifier of the first player who recorded half a sack.,,nflfastR::field_descriptions
half_sack_1_player_name,String name of the first player who recorded half a sack.,,nflfastR::field_descriptions
half_sack_2_player_id,Unique identifier of the second player who recorded half a sack.,,nflfastR::field_descriptions
half_sack_2_player_name,String name of the second player who recorded half a sack.,,nflfastR::field_descriptions
half_seconds_remaining,Numeric seconds remaining in the half.,,nflfastR::field_descriptions
home_coach,First and last name of the home team coach. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
home_opening_kickoff,"= 1 if the home team received the opening kickoff, 0 otherwise.",,nflfastR::field_descriptions
home_score,Total points scored by the home team.,,nflfastR::field_descriptions
home_team,String abbreviation for the home team.,,nflfastR::field_descriptions
home_timeouts_remaining,Numeric timeouts remaining in the half for the home team.,,nflfastR::field_descriptions
home_wp,Estimated win probability for the home team.,,nflfastR::field_descriptions
home_wp_post,Estimated win probability for the home team at the end of the play.,,nflfastR::field_descriptions
id,ID of the player in the 'name' column.,,nflfastR::field_descriptions
incomplete_pass,Binary indicator for if the pass was incomplete.,,nflfastR::field_descriptions
interception,Binary indicator for if the pass was intercepted.,,nflfastR::field_descriptions
interception_player_id,Unique identifier for the player that intercepted the pass.,,nflfastR::field_descriptions
interception_player_name,String name for the player that intercepted the pass.,,nflfastR::field_descriptions
jersey_number,Jersey number of the player listed in the 'name' column.,,nflfastR::field_descriptions
kick_distance,"Numeric distance in yards for kickoffs, field goals, and punts.",,nflfastR::field_descriptions
kicker_player_id,Unique identifier for the kicker on FG or kickoff.,,nflfastR::field_descriptions
kicker_player_name,String name for the kicker on FG or kickoff.,,nflfastR::field_descriptions
kickoff_attempt,Binary indicator for kickoff.,,nflfastR::field_descriptions
kickoff_downed,Binary indicator for if the kickoff was downed.,,nflfastR::field_descriptions
kickoff_fair_catch,Binary indicator for if the kickoff was caught with a fair catch.,,nflfastR::field_descriptions
kickoff_in_endzone,Binary indicator for if the kickoff was in the endzone.,,nflfastR::field_descriptions
kickoff_inside_twenty,Binary indicator for if the kickoff ended inside the twenty yard line.,,nflfastR::field_descriptions
kickoff_out_of_bounds,Binary indicator for if the kickoff went out of bounds.,,nflfastR::field_descriptions
kickoff_returner_player_id,Unique identifier for the kickoff returner.,,nflfastR::field_descriptions
kickoff_returner_player_name,String name for the kickoff returner.,,nflfastR::field_descriptions
lateral_interception_player_id,Unique indentifier for the player that received the lateral on an interception.,,nflfastR::field_descriptions
lateral_interception_player_name,String name for the player that received the lateral on an interception.,,nflfastR::field_descriptions
lateral_kickoff_returner_player_id,Unique identifier for the player that received the lateral on a kickoff return.,,nflfastR::field_descriptions
lateral_kickoff_returner_player_name,String name for the player that received the lateral on a kickoff return.,,nflfastR::field_descriptions
lateral_punt_returner_player_id,Unique identifier for the player that received the lateral on a punt return.,,nflfastR::field_descriptions
lateral_punt_returner_player_name,String name for the player that received the lateral on a punt return.,,nflfastR::field_descriptions
lateral_receiver_player_id,Unique identifier for the player that received the last(!) lateral on a pass play.,,nflfastR::field_descriptions
lateral_receiver_player_name,"String name for the player that received the last(!) lateral on a pass play. If there were multiple laterals in the same play, this will only be the last player who received a lateral. Please see <https://github.com/mrcaseb/nfl-data/tree/master/data/lateral_yards> for a list of plays where multiple players recorded lateral receiving yards.",,nflfastR::field_descriptions
lateral_receiving_yards,Numeric yards by the `lateral_receiver_player_name` in pass plays with laterals. Please see the description of `lateral_receiver_player_name` for further information.,,nflfastR::field_descriptions
lateral_reception,Binary indicator for if a lateral occurred on the reception.,,nflfastR::field_descriptions
lateral_recovery,Binary indicator for if a lateral occurred on a fumble recovery.,,nflfastR::field_descriptions
lateral_return,Binary indicator for if a lateral occurred on a return.,,nflfastR::field_descriptions
lateral_rush,Binary indicator for if a lateral occurred on a run.,,nflfastR::field_descriptions
lateral_rusher_player_id,Unique identifier for the player that received the last(!) lateral on a run play.,,nflfastR::field_descriptions
lateral_rusher_player_name,"String name for the player that received the last(!) lateral on a run play. If there were multiple laterals in the same play, this will only be the last player who received a lateral. Please see <https://github.com/mrcaseb/nfl-data/tree/master/data/lateral_yards> for a list of plays where multiple players recorded lateral rushing yards.",,nflfastR::field_descriptions
lateral_rushing_yards,Numeric yards by the `lateral_rusher_player_name` in run plays with laterals. Please see the description of `lateral_rusher_player_name` for further information.,,nflfastR::field_descriptions
lateral_sack_player_id,Unique identifier for the player that received the lateral on a sack.,,nflfastR::field_descriptions
lateral_sack_player_name,String name for the player that received the lateral on a sack.,,nflfastR::field_descriptions
location,Either 'Home' o 'Neutral' indicating if the home team played at home or at a neutral site.,,nflfastR::field_descriptions
name,"Name of the 'passer' if it is not 'NA', or name of the 'rusher' otherwise.",,nflfastR::field_descriptions
nfl_api_id,UUID of the game in the new NFL API.,,nflfastR::field_descriptions
no_huddle,Binary indicator for whether or not the play was in no_huddle formation.,,nflfastR::field_descriptions
no_score_prob,Predicted probability of no score occurring for the rest of the half based on the expected points model.,,nflfastR::field_descriptions
old_game_id,Legacy NFL game ID.,,nflfastR::field_descriptions
opp_fg_prob,Predicted probability of the defteam scoring a FG next.,,nflfastR::field_descriptions
opp_safety_prob,Predicted probability of the defteam scoring a safety next.,,nflfastR::field_descriptions
opp_td_prob,Predicted probability of the defteam scoring a TD next.,,nflfastR::field_descriptions
order_sequence,"Column provided by NFL to fix out-of-order plays. Available 2011 and beyond with source ""nfl"".",,nflfastR::field_descriptions
out_of_bounds,"1 if play description contains ran ob, pushed ob, or sacked ob; 0 otherwise.",,nflfastR::field_descriptions
own_kickoff_recovery,Binary indicator for if the kicking team recovered the kickoff.,,nflfastR::field_descriptions
