season,week,team,conference,logo,games,prior_weight,power_pts,off_pts,def_pts,power_rank,off_rank,def_rank,off_wepa,off_pass_epa,off_rush_epa,off_eckel_rate,off_eckel_rate_oe,def_wepa,def_pass_epa,def_rush_epa,def_eckel_rate,def_eckel_rate_oe,adj_off_rush_epa,adj_def_rush_epa,adj_off_pass_epa,adj_def_pass_epa,off_wepa_rank,off_pass_epa_rank,off_rush_epa_rank,off_eckel_rate_rank,def_wepa_rank,def_pass_epa_rank,def_rush_epa_rank,def_eckel_rate_rank,power_change,rank_change
2025,12,Texas Tech,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,11,0,9.006158521803709,2.1157069084412865,6.890451613362423,11,40,5,2.790176688625022,0.3685340063315054,0.16894557759168868,0.5244755244755245,0.15529730810468326,-1.8600119251000395,0.008978650933786202,-0.0961697253444195,0.2838709677419355,-0.08178878510324811,0.018107968678875076,-0.09698645691183524,0.07019041888673164,-0.11652260949204499,42,27,52,35,3,6,2,2,0.2613831693274573,-2
2025,12,Alabama,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,10,0,8.303708563443612,3.413761369712797,4.889947193730816,12,28,10,2.930392258455306,0.38856105160967674,0.019033973958590196,0.5043478260869565,0.15180561898457834,-0.8112758275794423,0.10920127909972505,0.09917260406734711,0.3984375,0.04676078505967854,-0.045770012337919504,-0.027756479390145593,0.08967865530677362,-0.0806503610738184,36,19,128,45,70,30,53,35,0.03929304587499338,0
2025,12,North Texas,American Athletic,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,10,0,7.8659448894672375,8.328555222211326,-0.46261033274408914,13,6,85,4.103850266690861,0.4420481785784176,0.32054503927893263,0.6456692913385826,0.2789778852440074,-0.15646793564765446,0.13662002246647384,0.22858577305422564,0.43703703703703706,0.07392936974817668,0.09999353286938521,0.051371420889124775,0.13705133715488926,-0.027759705025187716,9,7,7,2,127,41,123,63,2.639146533602127,10
2025,12,Vanderbilt,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,10,0,7.639310389345191,11.19683592056308,-3.5575255312178897,14,2,118,5.123929736756429,0.4786792850577556,0.3387757342583359,0.5803571428571429,0.21849149121855618,-0.8507722288006982,0.370722657273126,0.07102492195626704,0.509090909090909,0.15591922763347074,0.09663226588487596,-0.027488599147271295,0.13040875933732188,0.11368765655248278,1,5,5,16,62,122,38,110,-0.4682803631254657,0
2025,12,USC,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,10,0,7.3243653202199415,7.522774611091848,-0.198409290871907,15,8,82,4.252037124683896,0.5038462719064997,0.2521292707392704,0.6909090909090909,0.3404439006555458,-0.5893532184825525,0.1356452322267419,0.1873851756926507,0.45528455284552843,0.10429894324210878,0.045547723802909994,0.0290031153841605,0.13210417359157658,-0.05075335520700227,6,3,20,1,99,39,106,76,-0.8811766622003105,-2
2025,12,South Florida,American Athletic,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,10,0,7.005584758662274,3.03609921710261,3.969485541559664,16,33,18,2.611992060290402,0.3648367695484767,0.20199587546947909,0.5211267605633803,0.1620282061260441,-1.2568548240640816,0.16282368755084264,0.09043209500768357,0.460431654676259,0.105397913392911,0.04217543816108564,-0.02470740279327364,0.11152279561167511,-0.03215591065892122,50,28,34,38,24,51,47,82,0.060229009286737245,2
2025,12,Michigan,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,10,0,6.3066371263355245,3.752246425816876,2.5543907005186486,17,25,32,2.7829046305771747,0.19745019601012137,0.2875279430967917,0.5284552845528455,0.1625590198200399,-1.2962734970377194,0.17423101902669497,0.05942778253913849,0.4126984126984127,0.044839206649039565,0.09380375699682299,-0.03445869185699768,-0.009809162499208239,-0.04055524091077978,43,78,14,31,21,56,32,44,1.552837671743915,9
2025,12,Nebraska,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,10,0,6.235706647352206,5.766227522759824,0.46947912459238195,18,12,65,3.9657767424895787,0.3033853970978297,0.18476801621617547,0.4857142857142857,0.13319478149331065,0.023292064927386568,0.14401521237788262,0.3288641542332584,0.41379310344827586,0.05620820401280003,0.0076111224280318935,0.06418291092122089,0.04030375633584832,-0.036172895110350885,13,50,42,59,132,43,136,46,-0.7116718902122035,-1
2025,12,Oklahoma,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,10,0,5.973143681204913,-1.4183520782413113,7.391495759446224,19,83,2,1.762086651840564,0.16810471797738857,0.07898388912334385,0.45528455284552843,0.09745279133363526,-1.9691500619151716,0.1035687450744397,-0.041642593896554204,0.3283582089552239,-0.02141675792140596,-0.02301491178907391,-0.07315925808789689,-0.04154364850985967,-0.08129000437623866,90,93,100,79,1,25,5,8,-0.8182380949178771,1
2025,12,Georgia,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,10,0,5.950961361913903,5.312524257661051,0.6384371042528514,20,17,60,3.1832377278526875,0.419796103245415,0.15073358581018215,0.5398230088495575,0.17882008881683675,-0.9813358380606694,0.23551587490650516,0.03587466975499946,0.36134453781512604,0.006350183859650644,0.011421465683828649,-0.03281972039548797,0.10877312815191165,-0.014323376272088524,26,12,60,25,47,77,21,21,0.32726808508234484,2
2025,12,BYU,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,10,0,5.93346199508505,2.7030652046691594,3.230396790415891,21,37,24,2.8216531795891955,0.30923487049008214,0.2302414129761982,0.5677966101694916,0.22333115150617558,-0.9835156559007675,0.08185208155560084,0.06623038552060362,0.4297520661157025,0.09350426756190146,0.044717513919169186,-0.026446690894338036,0.05663668210029791,-0.08686477791907349,40,46,27,19,46,17,34,59,-0.4588375699862013,0
2025,12,Ohio,Mid-American,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,10,0,5.832479271494801,5.788079450061489,0.044399821433312156,22,11,73,4.715663135297585,0.33350400338637154,0.21871471854419083,0.41836734693877553,0.06843129984442203,-0.5948836177066804,0.22753109465117471,0.17078751667389527,0.34234234234234234,-0.012217790808754814,0.03201258620715357,0.011039791858763378,0.018635700716255532,0.02154882978821768,4,36,29,95,98,73,100,14,-2.748722169582109,-12
2025,12,Cincinnati,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,10,0,5.568075130561102,6.590887881281846,-1.0228127507207438,23,9,91,4.13101595294263,0.41132781794768153,0.31097439036027497,0.49137931034482757,0.11851377118367701,-0.6297423706162956,0.24013155476799664,0.11784559596322043,0.5,0.12676139617223853,0.07826285680049105,-0.0026328271813735875,0.08389906084005103,0.020275925068048442,8,15,8,54,95,80,66,103,-2.7655827109888964,-12
2025,12,Arizona,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,10,0,5.50811274679345,1.3832655694621643,4.124847177331286,24,50,15,2.1022680294695166,0.19729007277231778,0.18007546483879036,0.5254237288135594,0.15585982939545445,-0.9489676816983498,0.1113442272728332,0.1252240583301777,0.4122137404580153,0.055600937081297375,0.011941883343481844,0.008329644983992674,-0.0013367272969638988,-0.042671473395614196,71,79,45,34,51,31,69,42,2.2793384093204487,13
2025,12,Old Dominion,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,10,0,5.267568813391841,2.7673059041355867,2.500262909256254,25,36,33,3.2294193456987674,0.43954490036822597,0.13286144051963453,0.47058823529411764,0.10548639609435125,-0.741080032528998,0.04178237718133898,0.04380163601777155,0.3188405797101449,-0.052078937513020805,-0.013895191659650223,-0.05174866975889958,0.08117280170350605,-0.09346041417352713,24,9,69,69,78,14,24,5,0.3535736545786454,-1
2025,12,San Diego State,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,10,0,4.802834057386169,-1.1516185784586725,5.9544526358448415,26,79,6,1.8887376145361072,0.1137763963719772,0.19749751257265738,0.40458015267175573,0.04519719979806712,-1.7786309881621132,0.0046553050597350435,0.045163763324885565,0.3402777777777778,-0.013305763549650166,0.01567965580341419,-0.051682654162855855,-0.07578195894556822,-0.09548169190300512,84,118,35,103,4,5,25,13,0.739566255086169,5
2025,12,SMU,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,10,0,4.121992660360233,-0.026233546290901657,4.148226206651135,27,63,14,2.1239320140225324,0.32569109182305755,0.11452242233541095,0.44680851063829785,0.09491623404306423,-1.342835176520918,0.1322358977408848,-0.0030902811586255414,0.42857142857142855,0.06275596404777788,-0.013383485016226208,-0.062163658493777384,0.06021645617830762,-0.041828323984504145,70,38,80,84,15,37,9,57,0.2513493693411095,5
