run_date,keyword,sport,volume,latest_month_volume,mom_change,three_month_vs_prior,six_month_vs_prior,api_trend,opportunity_score
2026-08-09,eagles nfl,NFL,11900.0,2400.0,-0.1724137931034483,-0.6796875,-0.6519052523171988,-0.17,40.2
2026-08-09,nfl cards,NFL,6500.0,3500.0,-0.18604651162790697,-0.39069767441860465,-0.11282051282051278,-0.19,40.2
2026-08-09,nfl 2026 opponents,NFL,310.0,10.0,-0.9411764705882353,-0.8227272727272728,1.5643564356435644,0.0,40.1
2026-08-09,nfl best celebration,NFL,850.0,310.0,-0.20512820512820512,-0.4784688995215311,-0.534407027818448,-0.47,39.7
2026-08-09,nfl edits,NFL,9700.0,2900.0,0.0,-0.5809128630705394,-0.5263157894736842,-0.7,39.4
2026-08-09,nflbradzone,NFL,90.0,260.0,0.8571428571428571,0.46153846153846156,6.384615384615385,2.71,39.3
2026-08-09,nfl injuries,NFL,17800.0,1000.0,-0.16666666666666666,-0.7518248175182483,-0.9080150618612157,-0.85,39.2
2026-08-09,nfl helmets,NFL,7900.0,2900.0,-0.5538461538461539,-0.3287671232876712,-0.4512743628185907,-0.45,38.9
2026-08-09,nfl flag,NFL,6500.0,2900.0,-0.17142857142857143,-0.6514657980456027,-0.04608294930875572,-0.63,38.9
2026-08-09,nfl 2026 hall of fame,NFL,90.0,10.0,-0.5,-0.9210526315789473,1.8275862068965512,-0.67,38.7
2026-08-09,nfl 2026 logo,NFL,90.0,30.0,0.0,-0.8253968253968255,1.4666666666666666,0.0,38.6
2026-08-09,nfl h,NFL,3500.0,1600.0,-0.15789473684210525,-0.5354330708661417,-0.2762645914396887,0.0,38.4
2026-08-09,nflonfox,NFL,32400.0,660.0,-0.34,-0.9489443378119001,-0.8138048282896975,-0.65,38.1
2026-08-09,nfl gear,NFL,6500.0,1200.0,0.0,-0.75,-0.6836555360281196,-0.5,38.0
2026-08-09,nfl jaguars,NFL,5300.0,850.0,-0.15,-0.6980198019801981,-0.7044943820224718,-0.15,38.0
2026-08-09,college football app,CFB,470.0,110.0,0.0,-0.3095238095238095,-0.8599605522682445,-0.58,38.0
2026-08-09,nfl is back,NFL,310.0,50.0,0.6666666666666666,-0.13333333333333328,-0.9202279202279203,-0.91,37.8
2026-08-09,nfl career filter,NFL,110.0,140.0,0.2727272727272727,-0.11428571428571437,-0.07042253521126757,-0.18,37.6
2026-08-09,nfl lee,NFL,4300.0,1200.0,-0.25,-0.4817518248175183,-0.25714285714285723,-0.72,37.4
2026-08-09,the nfl,NFL,3500.0,850.0,-0.15,-0.6980198019801981,-0.512962962962963,-0.15,37.3
2026-08-09,nfl 2026 qb draft class,NFL,60.0,10.0,0.0,-0.6333333333333333,0.20588235294117643,0.0,37.3
2026-08-09,nfl dolphins,NFL,3500.0,1200.0,-0.3684210526315789,-0.28571428571428575,-0.6521739130434783,-0.25,37.2
2026-08-09,woman nfl,NFL,1600.0,1000.0,0.17647058823529413,-0.36666666666666664,-0.3717948717948718,-0.17,36.8
2026-08-09,nfl kendrick lamar,NFL,210.0,60.0,0.0,-0.8429752066115703,0.28440366972477077,-0.71,36.8
2026-08-09,nflacademy,NFL,1600.0,1000.0,0.17647058823529413,0.6507177033492824,-0.6166089965397924,0.18,36.7
2026-08-09,nfl song,NFL,3500.0,1200.0,-0.25,-0.5319148936170213,-0.5106382978723404,-0.59,36.5
2026-08-09,nfl karol g,NFL,260.0,10.0,-0.5,-0.3333333333333333,-0.9482758620689655,0.0,36.3
2026-08-09,nfl d,NFL,580.0,170.0,0.0,0.4264705882352941,0.018518518518518517,-0.19,36.2
2026-08-09,c nfl logo,NFL,70.0,50.0,0.6666666666666666,-0.56,-0.4,0.0,36.0
2026-08-09,nfl dances,NFL,580.0,580.0,-0.12121212121212122,0.21951219512195122,-0.22662889518413604,0.23,35.9
2026-08-09,nfl jersey for cheap,NFL,5300.0,2400.0,0.0,-0.3628318584070796,-0.6482889733840304,-0.17,35.7
2026-08-09,nfl joe burrow,NFL,260.0,60.0,-0.14285714285714285,-0.5652173913043478,-0.7306122448979592,-0.65,35.7
2026-08-09,sf nfl,NFL,1200.0,390.0,0.25806451612903225,-0.6955307262569833,-0.5399014778325123,0.0,35.6
2026-08-09,nfl card breaks,NFL,90.0,50.0,0.0,-0.6388888888888888,0.02083333333333339,-0.29,35.4
2026-08-09,nfl highlights,NFL,295000.0,11900.0,-0.1793103448275862,-0.8593155893536122,-0.8931331177727846,-0.63,35.1
2026-08-09,nfl dynasty,NFL,390.0,390.0,0.0,0.06837606837606842,0.18048780487804866,0.0,35.1
2026-08-09,nfl celebrations,NFL,1600.0,580.0,-0.3176470588235294,-0.40731707317073174,-0.5162962962962964,-0.52,34.7
2026-08-09,nfl gloves,NFL,850.0,470.0,0.0,-0.3380281690140845,-0.4139072847682119,-0.19,34.7
2026-08-09,nflfans,NFL,210.0,260.0,0.8571428571428571,-0.27027027027027023,-0.03759398496240593,1.36,34.5
2026-08-09,nfl 2026 qb class,NFL,60.0,10.0,0.0,-0.6875000000000001,-0.5333333333333333,-0.67,34.3
2026-08-09,nfl 2026 awards,NFL,310.0,30.0,-0.4,-0.9632768361581922,,-0.95,34.1
2026-08-09,c nfl,NFL,1000.0,260.0,-0.16129032258064516,-0.6231884057971013,-0.5550351288056206,-0.33,33.6
2026-08-09,nfl c,NFL,1000.0,260.0,-0.16129032258064516,-0.6231884057971013,-0.5550351288056206,-0.33,33.6
2026-08-09,nfl fl,NFL,580.0,260.0,-0.3333333333333333,-0.3333333333333333,-0.401496259351621,0.0,33.4
2026-08-09,a nfl,NFL,390.0,140.0,0.5555555555555556,-0.7043478260869566,-0.556547619047619,0.0,33.2
2026-08-09,nfl a,NFL,390.0,140.0,0.5555555555555556,-0.7043478260869566,-0.556547619047619,0.0,33.2
2026-08-09,nfl filter,NFL,310.0,260.0,0.23809523809523808,-0.5555555555555555,0.08900523560209436,-0.16,33.2
2026-08-09,nfl live,NFL,3500.0,70.0,-0.9960674157303371,-0.8294117647058824,-0.6768286242408239,-1.0,33.1
2026-08-09,nfl 2k26,NFL,660.0,310.0,-0.20512820512820512,-0.46829268292682935,-0.4097744360902255,-0.34,33.0
